county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
36003,Allegany County,NY,47700,137188.29575692202,65062.597875909094,106531.2561414482,308782.1497742793
36005,Bronx County,NY,1436785,2253422.6007138947,1544920.41311584,180919.7380430762,3979262.751872811
36007,Broome County,NY,197381,312868.27352083154,364403.301297658,133276.01629287307,810547.5911113627
36009,Cattaraugus County,NY,78506,116265.5746895815,111546.37094756251,242624.31083208864,470436.2564692326
36011,Cayuga County,NY,78783,132306.8224637605,117900.0299152545,199372.82731218362,449579.67969119863
36013,Chautauqua County,NY,131748,178979.152098036,195023.8808220065,466832.00855257444,840835.041472617
36015,Chemung County,NY,87742,137055.3921366765,172840.07117333298,139779.33999019503,449674.80330020445
36017,Chenango County,NY,49286,84566.92347892899,53089.120820463,266335.9872532157,403992.03155260766
36019,Clinton County,NY,81505,139421.7251065125,110661.7372670115,149596.35767107355,399679.8200445975
36021,Columbia County,NY,61860,122271.56457886,132663.554595161,42958.881388370515,297894.00056239153
36023,Cortland County,NY,48713,71414.143021383,62147.258638625506,94337.32732721744,227898.72898722594
36025,Delaware County,NY,46480,78244.6302345955,54348.0780558845,90077.77145240545,222670.47974288545
36027,Dutchess County,NY,295905,471598.0054755345,346333.39121703303,295413.1237130615,1113344.520405629
36029,Erie County,NY,922129,1244022.6773338001,1820129.7619578,1889367.2714854223,4953519.710777022
36031,Essex County,NY,38598,60350.4395214015,61042.860779771,19214.704872264658,140608.00517343718
36033,Franklin County,NY,51007,76070.5759418365,46643.35372369335,60747.17620200414,183461.105867534
36035,Fulton County,NY,54297,106426.87498530699,99558.99027999901,145175.837261019,351161.702526325
36037,Genesee County,NY,59053,93601.7619661335,108629.95121828049,79499.48516308068,281731.1983474947
36039,Greene County,NY,48069,74111.9786303165,112628.738120131,28213.2356724711,214953.95242291864
36041,Hamilton County,NY,4697,4565.412375371679,5477.8541769194,2898.132755509606,12941.399307800686
36043,Herkimer County,NY,63558,99171.0630507115,82102.130105544,396860.4660025071,578133.6591587625
36045,Jefferson County,NY,117966,170742.2882260025,206397.336785302,176184.53590311052,553324.160914415
36047,Kings County,NY,2606852,4353244.926855735,3135765.5609067203,473173.0732665262,7962183.561028982
36049,Lewis County,NY,27107,43331.7918724781,18541.7395933581,75086.75509790162,136960.2865637378
36051,Livingston County,NY,64622,88897.03376811101,69842.335373381,41943.819987252245,200683.18912874424
36053,Madison County,NY,72089,110937.507428527,22933.01273851035,68228.62627420202,202099.14644123937
36055,Monroe County,NY,749236,1214775.49719813,1518047.17132923,959562.7785747384,3692385.4471020987
36057,Montgomery County,NY,49667,92558.9162764685,134055.712361469,348536.85075062903,575151.4793885665
