fips,treated,census17M,acfr,acfr_fy,acfr_qc,v2,v2_fy,v2_qc
51117,1,29.71,,,none,72195138.0,2025.0,ok
51127,0,28.38,,,none,55555555.0,2025.0,ok
51153,1,780.64,,,none,1233906000000.0,2024.0,x1000_high
51167,0,17.42,,,none,17685559.0,2024.0,ok
51173,0,17.39,,,none,21461132.0,2024.0,ok
51193,1,17.09,,,none,28727622.0,2025.0,ok
51199,0,153.68,,,none,261141000.0,2025.0,ok
53003,0,4.93,5663963.0,2022.0,ok,,,none
53005,0,27.59,,,none,0.0,2020.0,no_data
53015,0,27.84,33735374.0,2023.0,ok,,,none
53017,1,11.62,15726082.0,2024.0,ok,,,none
53021,0,12.62,,,none,16709289.0,2024.0,ok
53025,1,26.42,32594618.0,2023.0,ok,,,none
53031,0,12.14,,,none,,,none
53041,0,23.15,28518589.0,2022.0,ok,,,none
53043,0,4.03,4704109.0,2021.0,ok,,,none
53051,1,3.91,8308812.0,2023.0,ok,,,none
53059,0,4.97,4695869.0,2023.0,ok,,,none
53065,0,11.63,,,none,,,none
54031,0,4.15,,,none,4339088.0,2021.0,ok
54047,1,4.4,,,none,3779836.0,2024.0,ok
54085,0,4.5,,,none,9127821.0,2024.0,ok
54109,0,4.38,,,none,4185682.0,2022.0,ok
55073,0,46.89,,,none,,,none
55101,1,51.97,,,none,,,none
55117,0,47.54,,,none,52690348.0,2024.0,ok
55127,0,63.66,,,none,,,none
