county_fips,prop_tax_2017,capex_2017,lt_debt_2017,exp_curr_2017,n_dc_2017,first_dc_year,is_dc_host,dc_intensity,dc_per_capex,dc_per_debt
48337,31.316,0.621,34.468,43.224999999999994,0,,0,0.0,0.0,0.0
48339,1106.393,504.48800000000006,4397.932,1311.251,3,2008.0,1,0.002711513901479854,0.0059466231109560575,0.0006821387870480944
48341,44.879000000000005,7.005000000000001,57.947,90.59799999999998,0,,0,0.0,0.0,0.0
48343,16.169,0.509,11.356,22.373,0,,0,0.0,0.0,0.0
48345,4.275,0.345,0.969,3.695,0,,0,0.0,0.0,0.0
48347,83.998,10.257,192.738,221.281,0,2019.0,0,0.0,0.0,0.0
48349,80.452,39.93800000000001,218.763,176.57699999999997,0,2025.0,0,0.0,0.0,0.0
48351,20.052,3.896,25.227,29.029,0,,0,0.0,0.0,0.0
48353,39.907,21.26,84.238,88.63,0,,0,0.0,0.0,0.0
48355,620.448,173.43599999999998,2818.964,1062.685,0,2023.0,0,0.0,0.0,0.0
48357,23.372,0.262,23.802,32.68200000000001,0,,0,0.0,0.0,0.0
48359,9.376,14.535000000000002,39.299,15.722,0,,0,0.0,0.0,0.0
48361,115.705,24.941,249.778,180.06399999999996,0,,0,0.0,0.0,0.0
48363,63.116,3.371,79.688,110.65700000000002,0,,0,0.0,0.0,0.0
48365,71.062,18.636000000000003,92.155,74.94800000000001,0,,0,0.0,0.0,0.0
48367,220.51,87.56500000000001,769.881,286.61899999999997,0,,0,0.0,0.0,0.0
48369,30.001,3.2199999999999993,13.851,48.367,0,,0,0.0,0.0,0.0
48371,52.639,19.678,68.51,93.49999999999996,0,2021.0,0,0.0,0.0,0.0
48373,58.701,3.921,191.181,85.773,0,,0,0.0,0.0,0.0
48375,241.698,49.527,673.019,588.193,0,,0,0.0,0.0,0.0
48377,11.729,0.385,16.818,25.613000000000003,0,,0,0.0,0.0,0.0
48379,13.587,2.6650000000000005,21.71,20.692,0,,0,0.0,0.0,0.0
48381,88.893,13.449000000000002,146.971,91.225,0,2022.0,0,0.0,0.0,0.0
48383,38.413,1.952,66.768,27.984,0,,0,0.0,0.0,0.0
48385,7.579000000000001,0.265,7.512,5.749999999999999,0,,0,0.0,0.0,0.0
48387,13.762,1.053,16.174,32.846,0,,0,0.0,0.0,0.0
48389,64.937,5.045,107.508,116.816,0,2022.0,0,0.0,0.0,0.0
48391,19.691,17.915000000000003,50.497,25.075000000000003,0,,0,0.0,0.0,0.0
48393,14.475,13.373,25.603,6.322,0,,0,0.0,0.0,0.0
48395,46.022,3.355,32.828,47.494,0,,0,0.0,0.0,0.0
48397,203.783,64.819,914.096,217.112,0,,0,0.0,0.0,0.0
48399,14.07,5.170999999999999,15.043,40.00599999999999,0,,0,0.0,0.0,0.0
48401,60.111,8.042000000000002,134.51,93.92100000000002,0,,0,0.0,0.0,0.0
48403,9.686,0.722,24.129,20.7,0,,0,0.0,0.0,0.0
48405,11.336,0.105,16.565,15.9,0,,0,0.0,0.0,0.0
48407,27.92,1.52,28.825000000000003,44.448,0,,0,0.0,0.0,0.0
48409,126.374,52.23399999999999,341.942,219.392,0,,0,0.0,0.0,0.0
48411,10.846,1.503,10.756,14.511,0,,0,0.0,0.0,0.0
48413,4.239,0.327,9.424,6.804999999999999,0,,0,0.0,0.0,0.0
48415,47.684,3.589,100.021,92.70299999999996,0,,0,0.0,0.0,0.0
48417,7.513,1.477,2.599,9.409,0,,0,0.0,0.0,0.0
48419,25.409,4.462,58.475,63.58,0,,0,0.0,0.0,0.0
48421,11.084,1.385,1.019,12.857,0,,0,0.0,0.0,0.0
48423,304.019,47.498999999999995,1176.165,515.2719999999999,0,,0,0.0,0.0,0.0
48425,48.306,3.73,52.904,47.562999999999995,0,,0,0.0,0.0,0.0
48427,60.018,8.384,213.347,238.513,0,,0,0.0,0.0,0.0
48429,15.323,3.854,30.564,23.340000000000003,0,,0,0.0,0.0,0.0
48431,8.472999999999999,2.791,21.046,6.094,0,,0,0.0,0.0,0.0
48433,5.855,0.8989999999999999,9.482,14.675999999999998,0,,0,0.0,0.0,0.0
48435,9.621,3.3270000000000004,5.489,17.337,0,,0,0.0,0.0,0.0
48437,11.267,2.787,7.421,26.669000000000004,0,,0,0.0,0.0,0.0
