county_fips,role,status,tier,baseline,baseline_fy,base_src,post,post_fy,post_src,cagr,hirisk,v2_2017
38077,control,USABLE,EXPANDED,8476000.0,2017.0,VERIFIED,9434571.0,2022.0,verified,0.021659650861206803,False,
38083,control,SINGLE_census_nopost,,11231000.0,,,,,,,,
38089,control,SINGLE_census_nopost,,16379000.000000002,,,,,,,,
38093,treated,USABLE,CENSUS_TRUST,9529000.0,2017.0,SINGLE_census,9043665.0,2024.0,acfr_wide,-0.007440079948714429,False,
38101,control,SINGLE_census_nopost,,20357000.0,,,,,,,,
38105,treated,DROP,,,,,,,,,,
39003,control,SINGLE_census_nopost,,11468000.0,,,,,,,,
39007,control,USABLE,PRIMARY,17348251.0,2017.0,VERIFIED,17948851.0,2023.0,verified,0.005688519755062904,False,
39013,control,SINGLE_census_nopost,,16573000.0,,,,,,,,
39045,treated,USABLE,CENSUS_TRUST,27079000.0,2017.0,SINGLE_census,49838059.0,2023.0,acfr_wide,0.10701817100038857,False,
39049,treated,USABLE,PRIMARY,432379000.0,2017.0,VERIFIED,531792000.0,2023.0,verified,0.035093388243580215,False,
39055,control,USABLE,EXPANDED,31163000.0,2017.0,CONFIRMED,33259437.0,2023.0,v2,0.010910262989856978,False,
39063,treated,USABLE,EXPANDED,11872000.0,2017.0,CONFIRMED,17587681.0,2024.0,v2,0.05775120176128867,False,
39083,control,SINGLE_census_nopost,,16520000.0,,,,,,,,
39085,control,SINGLE_census_nopost,,48083000.0,,,,,,,,
39089,treated,USABLE,CENSUS_TRUST,27107000.0,2017.0,SINGLE_census,37631504.0,2023.0,acfr_wide,0.056197219919559505,False,
39093,control,SINGLE_census_nopost,,49738000.0,,,,,,,,
39095,control,USABLE,PRIMARY,108825000.0,2017.0,VERIFIED,120722098.0,2022.0,verified,0.020966799665187663,False,
39101,control,SINGLE_census_hirisk_nopost,,2773000.0,,,,,,,,
39103,control,SINGLE_census_nopost,,30476000.0,,,,,,,,
39107,control,SINGLE_census_hirisk_nopost,,2373000.0,,,,,,,,
39111,treated,DROP,,,,,,,,,,
39133,control,USABLE,PRIMARY,26084148.0,2017.0,VERIFIED,33704006.0,2022.0,verified,0.0525942021937309,False,
39141,control,SINGLE_census_nopost,,11500000.0,,,,,,,,
39157,control,SINGLE_census_nopost,,11049000.0,,,,,,,,
39159,treated,USABLE,CENSUS_TRUST,16633000.0,2017.0,SINGLE_census,19640539.0,2023.0,acfr_wide,0.028088423887749903,False,
39163,control,SINGLE_census_hirisk_nopost,,2553000.0,,,,,,,,
40035,control,SINGLE_census_nopost,,7630000.0,,,,,,,,
40085,control,SINGLE_census_nopost,,8541000.0,,,,,,,,
40101,treated,DROP,,,,,,,,,,
40147,control,SINGLE_census_nopost,,6021000.0,,,,,,,,
41003,control,SINGLE_census_nopost,,26936000.0,,,,,,,,
41007,control,USABLE,EXPANDED,12664000.0,2017.0,CONFIRMED,18791195.0,2024.0,v2,0.05799437031082544,False,
41009,control,USABLE,EXPANDED,12509000.0,2017.0,CONFIRMED,15728903.0,2024.0,v2,0.03326289639642921,False,
41011,control,USABLE,EXPANDED,10557000.0,2017.0,CONFIRMED,13145204.0,2024.0,v2,0.03181973431648233,False,
41013,treated,USABLE,PRIMARY,7870000.0,2017.0,VERIFIED,13479167.0,2023.0,verified,0.09382552490653406,False,
41019,control,USABLE,EXPANDED,10002000.0,2017.0,CONFIRMED,13188783.0,2024.0,v2,0.04030262913030391,False,
41031,control,SINGLE_census_nopost,,7490000.0,,,,,,,,
41033,control,USABLE,CENSUS_TRUST,5828000.0,2017.0,SINGLE_census,15003041.0,2024.0,acfr_wide,0.14463146198799137,False,
41035,control,USABLE,CENSUS_TRUST,12918000.0,2017.0,SINGLE_census,16790260.0,2024.0,v2,0.038164131979849136,False,
41043,control,USABLE,CENSUS_TRUST,33842000.0,2017.0,SINGLE_census,50471792.0,2024.0,v2,0.05876349195317698,False,
41045,control,USABLE,EXPANDED,5769000.0,2017.0,CONFIRMED,8804604.0,2025.0,v2,0.05426833120263952,False,
41047,control,SINGLE_census_nopost,,68203000.0,,,,,,,,
