treated_fips,treated_state,division,pt17_treated,pt17_control,control_fips,match_tier,log_dist,treated_growth,control_growth,treated_level_change,control_level_change
51061,51,South Atlantic,136.699,167.327,51003,state,0.20216855328757166,28.495453514656276,39.917646285417185,38.952999999999975,66.793
51087,51,South Atlantic,402.026,244.151,51179,state,0.4987298768024928,38.32811808191509,1.0051156866037747,154.089,2.4539999999999793
51087,51,South Atlantic,402.026,379.032,37081,division,0.05889612890863116,38.32811808191509,12.015344350872748,154.089,45.54200000000003
51087,51,South Atlantic,402.026,437.406,12103,division,0.08434506242521511,38.32811808191509,43.204711412280574,154.089,188.97999999999996
51107,51,South Atlantic,1134.525,863.057,51013,state,0.27348860254662277,53.81626671955222,18.42983719499407,610.559,159.05999999999995
51117,51,South Atlantic,29.706,30.644,51053,state,0.031087839047233334,229.59671446845755,22.660227124396304,68.204,6.944000000000003
51117,51,South Atlantic,29.706,28.378,51127,state,0.04573484852221954,229.59671446845755,31.503277186552943,68.204,8.939999999999998
51117,51,South Atlantic,29.706,26.818,51083,state,0.10227574174989051,229.59671446845755,16.283839212469232,68.204,4.366999999999997
51153,51,South Atlantic,780.642,863.057,51013,state,0.10036407950509485,39.21720840026541,18.42983719499407,306.14599999999996,159.05999999999995
51193,51,South Atlantic,17.089,17.391,51173,state,0.017517849360933813,45.09918661127041,17.25605198090967,7.707000000000001,3.0010000000000012
51193,51,South Atlantic,17.089,17.419,51167,state,0.01912658283055313,45.09918661127041,-3.754520925426263,7.707000000000001,-0.6539999999999999
51193,51,South Atlantic,17.089,17.498,51103,state,0.023651607019301135,45.09918661127041,14.121613898731278,7.707000000000001,2.471
53017,53,Pacific,11.621,11.628,53065,state,0.0006021764558927778,20.927631012821625,14.671482628138977,2.4320000000000004,1.7059999999999995
53017,53,Pacific,11.621,12.142,53031,state,0.04385671046750561,20.927631012821625,10.91253500247078,2.4320000000000004,1.325000000000001
53017,53,Pacific,11.621,12.623,53021,state,0.08270674052998794,20.927631012821625,21.753941218410834,2.4320000000000004,2.7460000000000004
53025,53,Pacific,26.42,27.594,53005,state,0.04347705869166241,16.50264950794853,17.547292889758648,4.359999999999999,4.841999999999999
53025,53,Pacific,26.42,27.839,53015,state,0.0523166161866877,16.50264950794853,25.403211322245788,4.359999999999999,7.072000000000003
53025,53,Pacific,26.42,23.154,53041,state,0.13195374731064247,16.50264950794853,16.666666666666675,4.359999999999999,3.8590000000000018
56021,56,Mountain,27.279,27.381,56037,state,0.003732166790964442,12.705744345467206,13.08571637266718,3.466000000000001,3.5829999999999984
56021,56,Mountain,27.279,18.238,56009,state,0.4026098459004115,12.705744345467206,44.5717732207479,3.466000000000001,8.129000000000001
56021,56,Mountain,27.279,26.926,08097,division,0.01302481285484225,12.705744345467206,18.695684468543416,3.466000000000001,5.0340000000000025
