county_fips,name,state,dc_class,treated_by_2022,oil_confound,mw_latest,dc_share_mid,pt_2017_final,pt_2022_final,fy_base,fy_post,pt_cagr_pct,src_2017_final,src_2022_final,qc_census_verified,pt_both_final
19049,Dallas County,IA,clean_dc,True,False,231.1394666,8.009212542274215,22.307584,34.131102,2017.0,2025.0,5.459867587909839,verified,verified,FLAG_disagree,True
38035,Grand Forks County,ND,crypto,True,False,130.0,7.882992141263219,22.383,19.406,2017.0,2022.0,-2.814036084536009,census,census,no_verified_check,True
21225,Union County,KY,crypto,True,False,13.0,7.331378299120235,0.883,1.013,2017.0,2022.0,2.785001926129227,census,census,no_verified_check,True
47025,Claiborne County,TN,crypto,False,False,20.0,7.2811999417504,7.434377,10.644764,2018.0,2025.0,5.261658414051706,verified,verified,no_verified_check,True
48325,Medina County,TX,clean_dc,True,False,83.23083,6.740975945573824,14.039,22.468,2017.0,2022.0,9.861531328305118,census,census,no_verified_check,True
47013,Campbell County,TN,crypto,False,False,20.0,6.175889328063241,10.480554,13.835553,2018.0,2024.0,4.737462289773853,verified,verified,no_verified_check,True
39159,Union County,OH,clean_dc,False,False,90.0,6.124032062710088,16.633,17.069,2017.0,2022.0,0.5188469524950889,census,census,no_verified_check,True
48441,Taylor County,TX,mixed,True,False,200.1,6.0952949562271925,39.312,57.017,2017.0,2022.0,7.719875980459356,census,census,no_verified_check,True
31019,Buffalo County,NE,crypto,True,False,100.0,5.798916762348793,15.472,19.611,2017.0,2022.0,4.855365055683669,census,census,no_verified_check,True
39063,Hancock County,OH,crypto,False,False,90.0,5.744045339664548,11.872,15.347,2017.0,2022.0,5.268860298245381,census,census,no_verified_check,True
28089,Madison County,MS,clean_dc,False,False,160.05,5.241079849104056,47.194151,54.396324,2017.0,2022.0,2.88126008446441,verified,verified,validated_ok,True
47107,McMinn County,TN,clean_dc,False,False,20.0,5.00175061271445,10.988,14.67,2017.0,2022.0,5.950324849359623,census,census,no_verified_check,True
47165,Sumner County,TN,clean_dc,False,False,120.0,4.924167815639157,45.054677,77.347127,2018.0,2025.0,8.026221708194115,verified,verified,no_verified_check,True
21195,Pike County,KY,crypto,True,False,33.6363636,4.87653148921364,8.664,4.778,2017.0,2022.0,-11.221962511418083,census,census,no_verified_check,True
48067,Cass County,TX,crypto,True,False,40.0,4.643603436266543,9.870221,10.79501,2017.0,2023.0,1.503892110388394,verified,verified,validated_ok,True
