county_fips,name,state,mw_latest,mw_peak,elec_total_mwh,population,dc_mwh,dc_mwh_low,dc_mwh_high,power_share,power_share_low,power_share_high,prop_tax_2017_M,dc_share_mid
31153,Sarpy County,NE,578.289,578.289,1724958.3404113774,172460.0,5319102.221999999,3761365.1427000007,6889503.830399999,308.36119907286985,218.0554193443866,399.4011721324791,237.128,12.193604298100604
48221,Hood County,TX,320.7,387.7,971443.7911098415,54217.0,2949798.5999999996,2085929.0100000002,3820691.5199999996,303.6509808385264,214.7246221643866,393.3003180384723,95.328,16.820871097683785
30003,Big Horn County,MT,37.0,37.0,114208.34677440971,13214.0,340326.0,240659.1,440803.2,297.98697696958146,210.7193622856326,385.9640844558388,17.801000000000002,10.392674568844448
40097,Mayes County,OK,329.775,329.775,1124610.1169214067,40923.0,3033270.4499999997,2144955.5325,3928807.44,269.717514039755,190.72881349954105,349.34839913720646,29.699,55.519546112663726
13317,Wilkes County,GA,82.0,82.0,308172.57903943135,9924.0,754235.9999999999,533352.6000000001,976915.2000000001,244.74468246037353,173.0694540255499,317.00263632962674,11.078,37.01029066618523
38093,Stutsman County,ND,138.0,138.0,547418.3401902635,21108.0,1269324.0,897593.4,1644076.8,231.87458417246805,163.968455950531,300.33279473767294,25.717,26.83050122487071
40101,Muskogee County,OK,200.0,200.0,896387.3912189985,69939.0,1839600.0,1300860.0000000002,2382720.0,205.22377021594707,145.12252322413403,265.81364523208384,42.525,23.515579071134628
36063,Niagara County,NY,265.5,265.5,1267124.4310299684,213374.0,2442069.0,1726891.6500000001,3163060.8000000003,192.72527150431395,136.28429913519344,249.62511356749235,349.153,3.8020581235160513
37161,Rutherford County,NC,170.0,170.0,826298.7371915707,66701.0,1563659.9999999998,1105731.0000000002,2025312.0,189.23664403924627,133.8173411420385,245.10651037464285,49.48800000000001,17.175881021661816
42007,Beaver County,PA,400.0,400.0,1952942.0424289112,169205.0,3679200.0,2601720.0000000005,4765440.0,188.3926875486847,133.2205433379985,244.01338577734398,214.171,9.338332453973694
31019,Buffalo County,NE,100.0,100.0,560431.4190817121,48402.0,919800.0,650430.0000000001,1191360.0,164.1235606503159,116.05880360272343,212.57908808040918,86.223,5.798916762348793
37027,Caldwell County,NC,158.0,160.0,910045.1494796335,81623.0,1453283.9999999998,1027679.4000000003,1882348.8,159.69361529271285,112.92619938556129,206.8412540934186,58.867,13.420082558988907
13217,Newton County,GA,200.0,200.0,1190315.4973224795,103901.0,1839600.0,1300860.0000000002,2382720.0,154.54726113690316,109.28699180395297,200.17550013922695,84.905,11.777869383428538
47151,Scott County,TN,40.0,40.0,238732.78943738312,22029.0,367919.99999999994,260172.00000000006,476544.0,154.11372726263107,108.98042142143203,199.61397054969362,7.858,25.451768897938408
54047,McDowell County,WV,90.0,90.0,537931.8245222834,20273.0,827820.0,585387.0000000001,1072224.0,153.8893893729294,108.82178248514296,199.32339956874665,17.342,25.948564179448734
48325,Medina County,TX,83.23083,83.23083,518329.6170756076,47920.0,765557.1743399999,541358.287569,991578.816288,147.69697681163564,104.44286217394236,191.30275091792808,61.735,6.740975945573824
39159,Union County,OH,90.0,90.0,586810.9004102919,53955.0,827820.0,585387.0000000001,1072224.0,141.07099909377914,99.75734935917241,182.72053215956154,73.481,6.124032062710088
19153,Polk County,IA,724.7114536,724.7114536,5256558.517151971,459159.0,6665895.950212799,4713740.707650481,8633922.37360896,126.81102908798995,89.6735134265072,164.2504757711108,963.011,3.7627371525351214
38035,Grand Forks County,ND,130.0,130.0,968507.954446174,69793.0,1195740.0,845559.0,1548768.0,123.46207323446973,87.3053232158036,159.91278057036078,82.456,7.882992141263219
47121,Meigs County,TN,20.0,20.0,151276.20685671296,11804.0,183959.99999999997,130086.00000000003,238272.0,121.60537590306234,85.99237296002269,157.50791545539505,3.617,27.647221454243848
30093,Silver Bow County,MT,75.0,75.0,579823.9757421316,34560.0,689849.9999999999,487822.5000000001,893520.0,118.9757631386393,84.13286107660926,154.10194082719,43.678,8.585557946792436
28089,Madison County,MS,160.05,160.05,1274844.2014335245,101791.0,1472139.9,1041013.2150000001,1906771.6800000002,115.47606353345941,81.6580734986606,149.56899657667125,152.688,5.241079849104056
