county_fips,first_oy,dom_oy,first50_oy,capwt_oy,cap50_oy,name,dc_class,first_op_year
26027,2021.0,2021.0,,2021.0,2021.0,Cass County,crypto,2021.0
28089,2025.0,2025.0,2025.0,2025.0,2025.0,Madison County,clean_dc,2025.0
29047,2014.0,2024.0,2024.0,2021.8,2024.0,Clay County,clean_dc,2014.0
30003,2021.0,2021.0,,2021.0,2021.0,Big Horn County,crypto,2021.0
30093,2020.0,2020.0,2020.0,2020.0,2020.0,Silver Bow County,mixed,2020.0
31019,2019.0,2019.0,2019.0,2019.0,2019.0,Buffalo County,crypto,2019.0
31081,2011.0,2024.0,,2023.9,2024.0,Hamilton County,mixed,2011.0
31153,2001.0,2024.0,2018.0,2020.8,2021.0,Sarpy County,clean_dc,2001.0
32003,2000.0,2025.0,2020.0,2018.6,2020.0,Clark County,clean_dc,2000.0
32029,2017.0,2024.0,2017.0,2022.8,2024.0,Storey County,clean_dc,2017.0
32031,2013.0,2019.0,2019.0,2019.0,2019.0,Washoe County,clean_dc,2013.0
35061,2018.0,2024.0,2024.0,2021.7,2021.0,Valencia County,clean_dc,2018.0
36063,2021.0,2022.0,2021.0,2022.0,2022.0,Niagara County,mixed,2021.0
36089,2021.0,2021.0,2021.0,2021.0,2021.0,St. Lawrence County,crypto,2021.0
37027,2004.0,2014.0,2014.0,2012.9,2014.0,Caldwell County,clean_dc,2004.0
37035,2011.0,2024.0,,2018.3,2018.0,Catawba County,clean_dc,2011.0
37039,2018.0,2018.0,2018.0,2018.0,2018.0,Cherokee County,mixed,2018.0
37069,2017.0,2017.0,2017.0,2017.0,2017.0,Franklin County,crypto,2017.0
37161,2011.0,2016.0,2016.0,2014.5,2016.0,Rutherford County,mixed,2011.0
38021,2023.0,2023.0,2023.0,2023.4,2023.0,Dickey County,crypto,2023.0
38035,2021.0,2021.0,2021.0,2021.7,2021.0,Grand Forks County,crypto,2021.0
38093,2022.0,2022.0,2022.0,2022.3,2022.0,Stutsman County,crypto,2022.0
